cut,carat,color,clarity,depth,table,price,x,y,z
Premium,0.63,F,SI1,60.9,56,1736,5.58,5.56,3.39
Premium,0.71,I,SI2,62.1,58,1696,5.7,5.67,3.53
Premium,0.7,J,VVS2,60.6,58,1764,5.73,5.82,3.5
Premium,0.3,I,SI1,61.6,62,506,4.3,4.27,2.64
Premium,0.31,H,VS1,61.5,61,698,4.34,4.31,2.66
Premium,0.71,I,VS1,62.5,59,2202,5.75,5.71,3.58
Premium,0.36,F,VVS2,62.7,58,983,4.55,4.51,2.84
Premium,2.3,J,SI2,59.7,58,13560,8.63,8.68,5.17
Premium,0.4,D,SI2,61.9,58,666,4.71,4.73,2.92
Premium,0.41,F,SI2,59,58,775,4.89,4.87,2.88
Premium,0.71,G,VS2,60.3,60,2694,5.81,5.76,3.49
Premium,0.71,D,VVS1,59.7,59,4482,5.81,5.88,3.49
Premium,1.51,F,IF,60.5,61,18102,7.5,7.4,4.45
Premium,1,F,SI1,60.7,60,5197,6.36,6.4,3.87
Premium,0.4,D,VS2,60.5,59,1050,4.8,4.76,2.89
Premium,0.4,F,VS1,60.4,59,982,4.75,4.76,2.87
Premium,0.3,H,VVS2,60.8,60,605,4.29,4.33,2.62
Premium,1.01,D,SI2,61.8,60,4672,6.41,6.37,3.95
Premium,1.06,G,VS1,62.2,55,6853,6.58,6.51,4.07
Premium,1.04,J,SI1,60.2,56,4036,6.61,6.54,3.96
Premium,1.82,I,VS1,61.4,60,13813,7.8,7.83,4.8
Premium,1.01,H,SI1,62.3,58,4513,6.42,6.35,3.98
Premium,0.9,F,VS2,62.3,58,4838,6.16,6.14,3.83
Premium,0.3,F,SI1,62.1,61,641,4.29,4.25,2.65
Premium,0.63,F,VS2,61,61,2211,5.6,5.49,3.38
Premium,0.5,F,VS2,61.7,59,1654,5.09,5.05,3.13
Premium,0.9,E,SI1,61.6,57,4385,6.25,6.19,3.83
Premium,0.5,E,VS2,61.8,58,1746,5.11,5.05,3.14
Premium,1.04,F,SI2,60.2,58,4717,6.6,6.55,3.96
Premium,0.43,E,SI2,61,60,704,4.87,4.94,2.99
Premium,0.9,E,SI2,62.2,60,3599,6.19,6.15,3.84
Premium,1.26,J,SI1,61.8,58,5080,6.91,6.88,4.26
Premium,1.51,D,SI1,61.6,57,12738,7.41,7.32,4.54
Premium,0.57,I,VVS1,62.1,58,1728,5.32,5.25,3.28
Premium,0.3,I,VS1,63,53,608,4.31,4.26,2.7
Premium,0.32,J,SI1,62.2,59,468,4.41,4.37,2.73
Premium,0.72,F,VS2,62,56,2724,5.78,5.68,3.55
Premium,1.57,H,VS2,62.2,58,11415,7.45,7.4,4.62
Premium,2.16,J,VVS1,61.5,58,17891,8.36,8.26,5.11
Premium,0.44,H,SI2,58.4,60,759,5.05,4.99,2.93
Premium,1.07,I,SI1,58.4,60,4075,6.78,6.68,3.93
Premium,0.56,G,VS1,60.5,59,1915,5.31,5.26,3.2
Premium,0.41,F,VVS2,62.4,58,1192,4.76,4.7,2.95
Premium,1.2,E,VVS1,60.2,60,13321,6.84,6.97,4.16
Premium,0.7,I,VS1,61.7,61,2234,5.69,5.63,3.49
Premium,0.7,E,SI1,60.7,58,2679,5.73,5.74,3.48
Premium,1.51,F,VS2,61.8,56,13221,7.39,7.28,4.53
Premium,0.91,G,SI1,62.2,59,4045,6.15,6.19,3.84
Premium,2.29,H,VS2,61.6,60,17539,8.45,8.43,5.2
